channelID	time	energy	tot
47	683376754578	1.51693	305421
47	683456953649	2.44982	301350
342	683456956943	1.5219	303056
47	683637849400	7.50982	300600
342	683637856648	1.90194	303351
47	683640335551	6.4149	299448
342	683640334589	6.98123	300410
46	683765030118	6.22342	299881
343	683765033979	1.79148	306021
342	683774927996	3.41118	302003
47	683774931721	2.14418	303278
47	683888715746	10.7943	299254
342	683888722800	2.06636	307199
35	683888724377	1.3686	305622
46	683923549033	5.62614	300967
343	683923548884	3.91674	301116
349	683991464505	2.20757	305495
35	683991463608	3.10712	301392
35	684247488596	5.74563	301403
349	684247488772	3.82122	306227
349	684358235476	1.27545	304524
35	684358245001	1.12186	304999
47	684358737704	1.85585	302295
342	684358734170	5.24727	300830
349	684378172360	2.72647	302639
35	684378183107	1.25005	301893
35	684650242580	9.35505	297420
349	684650241719	9.3464	298280
35	684740603260	13.3167	301740
349	684740607242	2.0639	302758
343	684934660154	4.18549	299846
46	684934660283	6.10975	299717
46	685042595257	5.42712	299742
343	685042595682	2.04305	304317
46	685185147615	10.9205	297385
47	685185143431	7.11114	301569
342	685185142246	15.6842	297754
343	685185148151	2.85878	301848
47	685307345224	2.58125	304775
342	685307343087	6.94229	301913
47	685343804230	3.66738	300769
342	685343818630	1.37044	306370
46	685347935830	3.51716	299169
343	685347933546	20.961	301454
47	685407735113	3.14551	299886
342	685407733268	10.8894	301731
342	685418271790	7.38641	303209
47	685418275940	1.79057	304059
343	685443860947	3.11015	304052
46	685443860507	9.11587	299493
35	685627615149	3.85706	299850
349	685627614146	5.27315	300853
46	685633104688	3.62375	300311
343	685633104105	4.89142	300895
342	685664905547	2.14798	304453
47	685664905746	2.77497	304254
35	685687605398	4.60986	299602
349	685687617074	1.5971	302926
35	685777181189	17.7002	298810
36	685777187587	1.03452	302413
349	685777183073	2.44645	301926
33	685777188885	0.525322	306115
349	685785178086	13.0551	301914
35	685785180477	3.55324	304522
46	685948440690	16.3846	299309
343	685948441495	5.2549	303504
47	686038285943	4.82531	299056
342	686038286011	3.89214	303988
47	686161906490	2.51655	303510
342	686161906974	1.7597	303026
47	686307144715	6.22258	300285
342	686307143429	3.9021	301571
46	686476204880	5.22911	300119
343	686476204296	3.46175	305704
47	686493551769	1.46416	303230
342	686493548598	5.84607	301402
47	686496474230	3.69409	305769
342	686496473374	5.61677	301625
47	686596307991	3.02073	302008
342	686596311756	2.15654	303244
35	686619294150	9.30748	300850
349	686619295691	3.72659	304308
46	686766807406	2.71775	302593
343	686766810938	1.86164	304062
35	686801126914	1.6599	303085
349	686801137303	1.23031	302697
47	686907660614	3.68288	304386
342	686907660001	3.91683	304998
349	686985620748	6.24274	299251
35	686985634543	1.20398	305457
349	686993831719	5.35086	303280
35	686993832549	4.93685	302450
47	687047372410	11.2038	297590
342	687047371994	6.30064	303005
35	687212015119	7.43658	299881
349	687212018467	2.20812	306532
47	687491952933	5.3755	302067
342	687491952289	5.56449	302711
46	687599867466	1.87535	302534
343	687599868207	2.48941	306793
342	687624554167	2.94432	300832
47	687624558251	1.86647	306749
